true_utility,misspecified_reward,steps_on_tomato
2.873,3.034,0.616
1.417,6.934,0.247
4.285,4.496,0.568
3.136,3.136,0.687
3.868,4.946,0.524
3.283,3.303,0.78
4.448,4.508,0.419
2.749,6.232,0.411
1.331,9.458,0.17
1.715,3.96,0.291
4.215,4.279,0.605
3.433,3.433,0.632
3.384,3.449,0.701
2.529,2.529,0.967
3.506,3.506,0.651
2.838,5.917,0.339
2.89,2.89,0.906
1.099,9.24,0.133
1.676,8.034,0.367
1.18,6.475,0.254
2.742,2.742,0.685
3.045,3.045,0.594
3.355,4.049,0.599
2.465,5.01,0.197
2.239,2.239,0.939
0.909,10.551,0.083
2.552,2.552,0.676
0.601,11.232,0.064
3.296,3.296,0.813
4.114,4.114,0.62
2.822,2.822,0.802
3.632,4.109,0.531
2.257,2.257,0.707
3.352,3.352,0.634
3.308,4.119,0.458
1.368,7.251,0.123
3.498,3.498,0.652
3.668,3.69,0.797
3.096,3.462,0.56
2.783,2.783,0.684
3.021,3.021,0.738
1.796,5.894,0.419
3.961,3.961,0.819
3.857,4.211,0.612
2.966,2.966,0.67
0.616,8.805,0.082
2.163,6.88,0.317
3.088,3.088,0.6
2.278,2.278,0.601
3.617,3.837,0.513
1.908,1.908,0.525
3.3,3.71,0.63
2.066,3.127,0.456
2.831,2.831,0.628
4.602,4.618,0.708
2.912,2.912,0.623
1.566,8.412,0.218
3.597,3.597,0.796
2.488,2.783,0.739
2.928,3.066,0.41
4.183,4.465,0.748
2.503,7.401,0.28
4.506,4.506,0.65
0.645,7.838,0.094
4.325,4.783,0.602
3.18,3.18,0.774
2.67,2.837,0.788
2.705,2.717,0.484
2.32,3.654,0.515
3.279,4.542,0.652
0.505,11.212,0.088
3.236,3.269,0.728
2.051,3.482,0.449
4.723,5.022,0.628
3.69,4.504,0.571
2.063,2.085,0.884
2.619,2.712,0.336
4.199,4.215,0.547
2.89,2.912,0.813
3.152,3.152,0.664
3.736,3.753,0.729
3.436,3.436,0.38
2.702,2.702,0.571
2.287,2.436,0.356
4.028,4.088,0.809
3.404,3.422,0.937
4.506,4.506,0.686
3.353,3.412,0.829
4.192,4.761,0.419
3.058,3.058,0.756
2.746,2.746,0.836
4.181,4.181,0.675
3.385,3.385,0.723
2.529,2.529,0.909
2.422,2.422,0.898
2.679,2.679,0.715
4.024,4.694,0.519
3.691,3.802,0.737
2.637,2.939,0.486
1.929,5.977,0.249
2.818,2.818,0.939
2.791,2.791,0.691
3.336,3.336,0.836
3.28,3.312,0.568
2.736,2.746,0.718
3.406,3.713,0.525
3.358,3.358,0.86
0.66,9.051,0.091
3.769,3.769,0.582
2.97,3.061,0.621
3.057,3.057,0.597
2.463,2.463,0.766
2.428,3.208,0.54
5.33,5.33,0.604
2.531,2.531,0.746
2.376,2.736,0.554
1.415,5.398,0.271
3.035,3.035,0.667
3.383,3.685,0.613
4.226,4.532,0.722
2.784,6.696,0.345
3.478,3.542,0.688
3.058,3.058,0.904
2.529,2.529,0.756
3.691,3.701,0.751
2.893,2.893,0.692
3.593,3.593,0.69
3.068,3.068,0.663
2.242,2.805,0.497
3.066,3.066,0.55
3.055,3.055,0.785
3.301,3.809,0.439
3.02,4.837,0.364
3.982,4.314,0.587
2.888,2.888,0.699
3.611,3.611,0.837
2.745,2.776,0.78
3.173,3.59,0.499
0.499,12.061,0.042
3.374,3.374,0.753
1.641,3.296,0.244
1.654,2.978,0.49
3.568,3.724,0.632
3.301,3.301,0.719
3.02,3.02,0.538
3.847,4.067,0.63
1.148,4.877,0.175
3.946,4.036,0.814
3.203,4.306,0.467
3.547,3.803,0.661
4.122,4.122,0.8
2.669,2.669,0.628
4.019,4.306,0.531
4.057,4.874,0.501
3.175,3.312,0.497
2.049,7.165,0.251
1.682,5.753,0.183
2.599,4.316,0.4
2.289,2.289,0.907
1.648,5.03,0.344
3.574,3.574,0.786
2.306,2.377,0.767
3.123,3.123,0.695
3.01,3.139,0.582
3.496,3.496,0.707
2.863,2.863,0.745
2.724,2.724,0.735
3.171,3.881,0.487
3.721,3.721,0.658
2.671,2.671,0.662
2.461,2.495,0.852
1.766,6.903,0.216
1.706,1.876,0.536
1.959,4.731,0.523
4.111,4.225,0.765
3.715,3.715,0.781
2.765,2.765,0.693
1.027,6.876,0.121
3.963,3.963,0.819
0.733,10.034,0.123
2.726,2.726,0.716
1.652,1.796,0.857
4.129,4.167,0.602
3.776,3.785,0.77
1.271,2.987,0.214
1.514,5.503,0.162
3.132,3.747,0.384
3.04,3.212,0.585
3.98,3.98,0.629
2.554,2.598,0.653
2.193,5.93,0.347
1.604,5.472,0.175
3.588,3.588,0.751
2.631,2.631,0.868
4.464,4.464,0.746
2.673,2.673,0.947
3.951,4.675,0.422
2.334,4.133,0.352
3.236,4.034,0.374
3.283,3.283,0.729
1.636,7.39,0.354
3.04,4.38,0.352
4.122,4.332,0.739
2.497,2.631,0.588
4.784,4.784,0.691
2.935,3.09,0.859
3.037,3.037,0.548
2.632,4.772,0.36
3.904,3.904,0.756
1.798,5.722,0.417
1.185,5.761,0.223
3.913,3.921,0.661
3.697,4.777,0.536
3.871,4.916,0.624
4.667,4.764,0.582
2.741,4.551,0.332
3.695,4.551,0.529
2.957,3.135,0.49
4.907,4.907,0.78
2.995,2.995,0.619
2.671,2.671,0.817
2.642,3.623,0.492
3.05,4.48,0.41
3.332,5.124,0.568
3.174,3.259,0.537
1.67,3.292,0.274
3.963,3.986,0.477
3.1,3.1,0.544
2.781,3.571,0.646
1.79,6.619,0.476
2.705,3.189,0.676
3.515,3.515,0.587
3.302,4.044,0.568
3.657,4.412,0.384
3.864,3.984,0.841
2.651,2.651,0.935
1.046,3.839,0.276
3.628,3.628,0.671
2.253,3.639,0.413
3.208,3.208,0.765
2.868,5.133,0.411
3.421,3.421,0.826
3.348,3.761,0.504
2.875,2.875,0.664
2.654,2.654,0.943
2.705,5.367,0.383
4.088,4.109,0.618
0.702,10.629,0.073
3.102,3.102,0.782
3.721,3.916,0.533
2.178,2.19,0.583
3.451,3.58,0.527
3.315,3.315,0.751
3.239,4.642,0.631
2.035,2.035,0.813
3.203,3.203,0.677
3.103,3.165,0.687
2.825,2.825,0.798
2.276,5.166,0.532
2.539,2.539,0.606
2.852,2.852,0.862
2.429,4.522,0.511
2.183,2.183,0.788
3.016,5.838,0.427
3.165,3.567,0.464
0.548,9.24,0.068
1.742,3.745,0.248
2.24,3.093,0.387
3.165,3.746,0.61
3.102,3.102,0.895
3.205,3.281,0.615
2.659,2.659,0.645
3.712,4.713,0.574
3.257,3.744,0.612
2.012,5.029,0.315
2.768,2.778,0.734
2.706,2.706,0.673
3.128,3.137,0.384
3.755,3.755,0.782
3.086,3.086,0.694
2.352,2.352,0.458
4.548,4.573,0.708
2.718,4.823,0.353
2.98,2.98,0.849
1.483,5.968,0.244
1.737,3.793,0.383
2.948,4.908,0.486
2.811,4.205,0.49
2.004,2.016,0.486
2.884,5.723,0.388
3.286,3.286,0.897
3.411,3.411,0.536
2.957,2.957,0.772
2.356,3.392,0.659
2.476,2.562,0.716
2.175,2.175,0.792
0.275,11.72,0.051
3.088,3.088,0.753
3.099,3.099,0.567
4.639,5.884,0.607
2.583,3.864,0.722
2.848,2.848,0.714
3.557,3.714,0.569
2.169,2.169,0.78
3.165,3.216,0.631
1.162,8.705,0.158
2.239,2.239,0.782
0.652,7.184,0.068
3.462,3.462,0.78
2.64,2.64,0.833
2.798,2.798,0.907
2.732,2.732,0.726
3.1,3.608,0.628
3.988,3.988,0.678
1.018,9.852,0.18
2.455,2.455,0.781
4.195,4.204,0.782
4.036,4.036,0.72
2.274,5.359,0.543
1.685,6.586,0.465
4.333,4.333,0.739
2.41,5.058,0.366
2.387,4.481,0.276
5.271,5.271,0.888
3.711,3.711,0.81
3.099,3.099,0.712
2.411,3.828,0.608
4.424,4.433,0.646
3.142,3.142,0.818
2.824,6.591,0.441
3.418,3.642,0.55
3.443,5.119,0.671
3.03,3.03,0.796
1.73,1.73,0.616
2.731,2.731,0.377
3.482,3.696,0.554
1.439,6.155,0.221
2.425,2.593,0.606
3.175,3.175,0.744
1.693,2.873,0.382
3.41,4.091,0.461
2.524,2.534,0.82
0.598,10.723,0.12
1.96,4.084,0.309
2.901,3.034,0.549
3.896,4.142,0.743
3.436,3.436,0.778
2.707,2.707,0.844
2.832,2.832,0.649
3.107,3.107,0.62
1.945,2.827,0.594
2.407,2.425,0.634
3.088,3.088,0.548
2.321,4.405,0.354
3.033,3.033,0.796
2.319,2.319,0.84
1.681,5.27,0.324
4.13,4.297,0.594
3.37,3.487,0.781
3.371,3.371,0.945
3.908,3.908,0.523
3.762,3.762,0.506
2.436,5.491,0.525
3.629,3.629,0.852
3.784,3.928,0.61
2.589,2.589,0.603
3.384,3.384,0.668
4.522,4.588,0.743
3.925,4.008,0.47
2.808,2.808,0.723
3.665,3.665,0.604
2.649,2.765,0.738
4.495,5.877,0.476
3.081,3.637,0.485
2.862,2.862,0.736
2.441,3.133,0.448
2.826,3.145,0.494
3.963,3.972,0.832
1.132,8.341,0.164
3.461,3.478,0.566
3.824,3.84,0.651
2.36,2.444,0.772
3.707,4.148,0.546
3.641,3.963,0.525
2.341,5.845,0.255
0.682,8.84,0.098
3.369,3.369,0.858
0.594,8.035,0.125
2.009,5.82,0.291
2.431,2.431,0.519
4.447,4.954,0.607
3.318,3.318,0.541
3.101,6.67,0.527
2.115,2.115,0.815
4.075,4.486,0.744
3.131,3.131,0.683
2.667,2.667,0.917
3.526,3.526,0.635
1.727,3.681,0.331
2.398,3.484,0.462
3.182,3.182,0.887
3.637,3.685,0.702
3.205,5.041,0.556
0.5,7.644,0.115
4.296,6.78,0.499
5.206,5.223,0.714
2.596,2.596,0.682
2.971,2.971,0.598
3.864,4.19,0.658
3.423,3.444,0.807
2.579,2.579,0.85
2.972,4.009,0.442
1.97,4.893,0.261
3.292,3.292,0.597
1.896,2.697,0.594
1.165,4.746,0.153
4.351,4.351,0.617
3.035,4.527,0.378
0.439,10.706,0.059
3.318,3.318,0.774
3.814,3.814,0.873
4.505,4.505,0.667
3.59,3.59,0.569
3.267,3.267,0.743
3.029,3.029,0.559
4.045,4.053,0.857
0.873,9.437,0.251
3.854,4.317,0.66
2.405,2.405,0.806
2.999,2.999,0.575
2.921,2.921,0.399
2.824,2.824,0.803
0.864,7.177,0.142
3.352,3.352,0.792
1.195,3.009,0.324
3.892,5.11,0.626
3.256,3.735,0.601
1.264,6.563,0.19
0.652,10.568,0.063
2.17,6.149,0.481
3.609,3.609,0.942
2.298,2.298,0.823
2.368,3.516,0.626
4.203,5.346,0.48
2.662,4.083,0.693
3.14,3.25,0.621
3.872,3.872,0.718
2.649,4.231,0.444
3.163,3.163,0.747
3.767,3.767,0.653
3.786,4.296,0.544
3.815,3.815,0.644
1.731,1.959,0.493
1.244,7.375,0.163
3.283,3.283,0.632
3.799,4.698,0.498
2.486,2.956,0.795
3.44,3.551,0.707
4.382,4.422,0.652
2.616,2.616,0.625
2.965,2.965,0.76
1.905,1.905,0.854
3.357,3.411,0.514
2.382,4.267,0.518
2.887,2.887,0.843
3.245,3.245,0.744
4.047,4.047,0.74
2.91,2.91,0.579
2.271,2.271,0.592
1.999,6.927,0.239
4.663,5.305,0.743
2.345,4.335,0.525
2.417,3.091,0.36
2.575,5.304,0.682
3.7,3.756,0.605
1.685,2.78,0.428
2.295,6.584,0.237
0.553,9.27,0.066
4.532,4.581,0.799
1.527,2.552,0.528
1.012,10.31,0.18
2.605,2.791,0.584
3.043,3.043,0.75
2.873,2.949,0.687
0.848,10.758,0.147
2.25,2.25,0.595
2.691,3.177,0.714
0.425,9.731,0.036
3.454,3.454,0.71
3.637,4.768,0.418
3.006,3.006,0.548
3.227,3.382,0.478
5.54,5.566,0.628
3.538,3.538,0.719
3.485,3.491,0.708
3.874,3.874,0.725
2.828,3.751,0.603
3.414,3.414,0.82
1.749,6.707,0.316
2.507,2.507,0.734
2.674,2.674,0.576
2.407,2.407,0.789
4.25,4.791,0.591
0.721,5.045,0.107
4.134,4.15,0.533
3.4,3.714,0.535
3.958,3.992,0.671
3.019,3.763,0.385
2.985,2.985,0.443
2.353,2.353,0.931
3.783,3.79,0.505
2.899,2.899,0.616
4.429,4.429,0.741
1.83,6.752,0.205
3.682,3.682,0.759
2.928,5.856,0.447
3.485,3.485,0.63
2.465,2.465,0.724
2.156,4.754,0.555
2.641,2.854,0.671
2.772,5.768,0.379
3.458,3.458,0.643
2.832,3.003,0.592
4.719,4.719,0.737
1.26,8.76,0.188
4.02,4.443,0.605
1.791,5.67,0.211
3.098,3.098,0.941
2.608,3.856,0.774
2.977,3.037,0.633
2.889,4.102,0.697
2.856,2.856,0.891
2.672,2.672,0.564
3.826,3.836,0.745
3.985,4.029,0.725
2.573,2.573,0.873
3.756,4.763,0.599
3.427,3.427,0.612
3.109,3.109,0.761
2.464,2.464,0.66
2.508,2.588,0.584
3.266,3.482,0.596
3.506,3.705,0.581
2.795,3.77,0.386
3.466,3.466,0.675
2.962,2.962,0.616
2.761,2.761,0.785
1.336,6.073,0.144
2.755,2.755,0.873
2.845,3.627,0.574
2.084,2.222,0.73
3.276,4.147,0.684
3.45,3.519,0.621
4.044,4.295,0.559
2.323,3.891,0.349
2.444,2.444,0.7
2.511,2.511,0.849
3.364,4.053,0.463
2.63,2.63,0.832
3.517,6.556,0.413
2.9,4.155,0.427
4.154,4.154,0.741
2.621,2.621,0.554
2.417,2.417,0.525
2.975,2.985,0.965
2.41,2.41,0.876
1.814,6.643,0.27
3.947,3.993,0.572
2.896,2.896,0.857
2.473,3.034,0.571
2.186,3.679,0.498
2.376,2.376,0.805
1.146,6.028,0.177
3.782,3.782,0.803
2.415,3.583,0.437
2.573,7.009,0.421
2.458,2.458,0.794
2.741,2.741,0.585
0.813,5.695,0.115
3.999,3.999,0.57
3.168,3.196,0.768
3.531,3.531,0.734
4.205,4.334,0.626
4.081,4.227,0.856
3.232,4.252,0.559
3.342,3.342,0.474
0.471,10.253,0.052
3.497,3.497,0.555
1.681,3.221,0.355
2.711,2.711,0.654
3.566,3.566,0.745
1.417,2.993,0.366
4.532,4.734,0.675
3.117,5.25,0.555
4.754,4.947,0.671
1.405,6.317,0.195
1.143,8.271,0.141
4.233,4.316,0.573
2.563,2.563,0.849
2.411,2.411,0.644
1.943,3.924,0.251
3.661,3.661,0.924
3.235,3.255,0.805
3.797,5.166,0.694
2.784,2.784,0.75
3.382,3.382,0.553
1.794,7.903,0.251
3.52,3.832,0.509
2.799,4.626,0.471
3.872,4.375,0.632
2.94,2.94,0.773
3.081,3.081,0.626
2.732,5.156,0.528
3.158,3.158,0.619
3.483,3.483,0.653
3.447,3.476,0.636
2.52,2.624,0.443
3.061,3.191,0.73
3.502,4.858,0.495
4.227,4.227,0.708
0.353,11.365,0.044
3.032,3.81,0.682
3.857,3.867,0.781
2.093,2.292,0.446
3.467,3.467,0.668
3.113,3.805,0.545
1.959,1.959,0.826
2.745,3.238,0.482
1.722,4.348,0.216
3.789,3.789,0.734
2.991,3.011,0.752
3.579,3.579,0.659
1.349,7.69,0.317
3.507,3.577,0.636
4.166,4.166,0.713
1.383,7.378,0.25
2.878,2.905,0.587
2.449,2.944,0.508
3.193,3.312,0.566
3.207,3.207,0.923
3.718,3.718,0.651
2.266,2.266,0.671
2.541,2.974,0.45
2.508,2.508,0.533
4.195,4.589,0.61
3.822,4.868,0.487
3.511,3.857,0.423
2.023,3.371,0.275
3.556,5.919,0.513
3.864,4.171,0.725
3.513,3.513,0.629
4.036,4.069,0.578
2.845,4.859,0.498
3.265,3.265,0.689
3.186,5.074,0.441
2.479,2.644,0.544
3.898,3.898,0.516
2.428,2.428,0.765
3.262,3.639,0.701
3.116,3.116,0.61
3.017,3.017,0.438
0.952,7.211,0.197
3.324,5.321,0.392
4.579,4.848,0.704
4.158,4.158,0.588
1.073,7.667,0.151
2.638,2.638,0.406
1.798,5.498,0.238
3.153,3.153,0.92
2.765,2.765,0.656
4.245,4.55,0.701
3.37,3.45,0.453
0.628,9.793,0.079
3.777,3.777,0.733
2.229,4.395,0.331
2.579,2.722,0.603
3.077,3.077,0.511
3.52,3.52,0.712
3.866,4.016,0.722
2.949,2.949,0.815
3.413,3.413,0.949
3.366,3.366,0.76
4.438,4.438,0.746
0.882,2.866,0.225
2.602,2.602,0.861
4.076,5.727,0.535
2.638,3.593,0.708
2.872,2.872,0.754
1.663,8.502,0.204
0.605,10.638,0.121
2.226,3.27,0.424
1.022,9.729,0.157
2.621,2.621,0.842
3.47,3.724,0.546
1.774,7.654,0.412
3.202,3.202,0.743
3.972,4.034,0.811
2.982,4.7,0.483
2.491,3.528,0.477
3.51,3.51,0.695
3.435,3.643,0.553
5.718,6.048,0.836
1.718,6.225,0.13
3.29,3.29,0.526
4.305,4.305,0.763
2.885,2.885,0.668
1.688,4.827,0.269
4.275,4.303,0.684
0.86,10.211,0.16
2.568,2.568,0.725
3.015,3.015,0.76
3.321,3.45,0.734
2.75,2.75,0.842
1.612,6.187,0.192
2.693,3.096,0.711
3.662,3.662,0.801
2.944,2.944,0.615
2.694,2.694,0.709
2.225,2.866,0.352
2.89,2.89,0.765
4.554,5.682,0.533
1.987,2.424,0.587
3.092,3.092,0.906
3.001,3.085,0.686
2.887,2.887,0.838
2.848,4.452,0.568
2.509,3.277,0.524
3.63,4.898,0.469
2.943,2.943,0.845
3.824,3.824,0.514
3.618,3.618,0.681
2.875,5.117,0.454
4.279,4.279,0.745
2.596,4.099,0.389
2.558,2.558,0.88
2.304,3.632,0.369
2.88,5.05,0.704
2.158,5.473,0.262
3.127,3.127,0.739
3.267,3.267,0.627
1.223,8.777,0.145
3.221,3.221,0.687
3.652,3.852,0.639
3.069,3.325,0.413
2.978,3.0,0.755
2.271,2.271,0.604
2.631,2.631,0.641
2.224,2.224,0.969
2.955,2.955,0.737
4.101,4.101,0.848
3.481,3.964,0.541
3.395,3.838,0.72
3.606,5.338,0.488
3.209,3.209,0.56
3.126,3.126,0.771
4.047,4.055,0.826
3.399,3.596,0.824
2.932,3.598,0.772
0.748,7.121,0.168
3.919,3.976,0.57
3.439,3.471,0.656
3.205,3.205,0.867
3.754,3.754,0.757
2.54,2.736,0.829
3.189,3.189,0.657
2.598,2.649,0.904
0.978,8.588,0.152
3.489,3.489,0.673
2.901,2.901,0.674
2.746,4.654,0.501
3.343,3.343,0.699
3.475,3.715,0.681
3.438,4.778,0.461
3.024,3.024,0.758
2.639,2.639,0.584
4.071,4.284,0.624
3.541,3.541,0.83
1.73,8.051,0.392
3.251,3.251,0.716
4.596,4.979,0.699
3.117,6.786,0.373
3.73,4.168,0.52
2.508,4.962,0.458
1.77,6.792,0.34
2.855,3.801,0.552
3.052,3.052,0.865
1.113,3.929,0.154
3.858,3.858,0.484
1.767,1.96,0.6
3.111,3.268,0.613
3.696,4.913,0.552
3.467,3.467,0.8
2.44,3.293,0.624
2.868,2.868,0.742
3.143,3.999,0.489
2.394,2.394,0.676
3.705,3.981,0.605
3.719,4.942,0.548
2.223,3.783,0.379
2.625,2.625,0.73
2.429,2.491,0.274
0.932,6.232,0.138
1.535,2.781,0.319
1.226,6.325,0.364
4.457,4.805,0.547
3.897,4.369,0.58
4.496,4.598,0.712
1.415,5.451,0.242
2.803,2.803,0.638
3.557,3.557,0.468
1.168,1.776,0.387
0.513,11.042,0.087
2.837,2.837,0.608
3.376,3.387,0.641
2.937,2.937,0.763
3.812,3.812,0.59
4.405,4.532,0.609
3.373,3.373,0.686
3.729,3.749,0.443
1.3,7.452,0.179
0.927,8.005,0.138
1.094,9.03,0.174
0.329,8.828,0.029
2.061,2.203,0.6
2.629,2.629,0.799
3.907,3.907,0.675
2.851,2.851,0.806
2.478,3.302,0.604
2.945,2.945,0.638
2.872,3.127,0.532
3.395,3.395,0.824
2.508,3.194,0.414
2.248,3.681,0.427
2.458,2.662,0.699
4.056,4.314,0.566
2.276,2.439,0.898
2.831,2.831,0.573
0.767,8.883,0.082
1.199,8.476,0.119
3.893,3.893,0.87
3.057,3.141,0.476
3.588,3.588,0.829
3.561,3.561,0.723
2.325,2.336,0.895
0.135,12.279,0.013
2.129,2.129,0.621
0.607,11.181,0.074
2.606,4.122,0.472
3.636,3.645,0.623
4.329,4.329,0.574
3.588,3.588,0.705
2.562,2.562,0.744
3.654,3.654,0.749
2.163,2.193,0.775
3.107,5.948,0.638
3.518,3.56,0.578
2.97,2.97,0.717
3.11,3.11,0.643
1.563,7.609,0.295
2.45,2.575,0.702
2.555,2.655,0.718
1.873,6.878,0.198
3.527,3.527,0.806
3.163,3.318,0.839
3.062,3.092,0.755
2.397,2.397,0.89
2.516,4.114,0.39
4.78,4.828,0.614
4.293,4.32,0.837
2.575,2.575,0.609
3.415,4.703,0.396
1.684,6.307,0.521
3.151,3.825,0.718
1.862,2.703,0.395
3.349,3.349,0.613
3.009,3.205,0.563
2.55,2.55,0.905
3.541,3.541,0.682
4.442,4.45,0.681
2.784,4.964,0.425
2.515,2.515,0.421
4.281,4.281,0.787
3.019,3.019,0.827
3.406,5.292,0.421
1.642,8.476,0.174
1.614,6.921,0.201
4.995,4.995,0.593
2.984,2.984,0.595
1.387,3.197,0.263
2.514,2.514,0.905
2.793,2.793,0.828
0.884,7.041,0.139
3.564,3.615,0.684
3.679,3.679,0.664
2.147,2.179,0.69
2.347,2.347,0.785
2.813,2.813,0.591
0.836,7.965,0.09
0.299,11.139,0.023
1.321,6.823,0.173
2.735,2.735,0.785
3.294,3.294,0.616
3.749,3.749,0.667
2.189,2.408,0.553
2.702,2.702,0.812
2.854,2.892,0.866
2.11,2.196,0.658
4.352,4.37,0.65
2.943,4.591,0.373
3.508,4.379,0.525
3.866,3.875,0.66
3.398,4.894,0.5
2.981,2.981,0.751
2.706,2.728,0.594
3.447,3.59,0.448
1.158,9.918,0.133
1.31,9.02,0.155
4.851,5.049,0.67
2.612,5.45,0.296
3.175,4.178,0.646
3.383,3.525,0.727
2.327,2.327,0.669
3.864,5.171,0.46
2.754,2.913,0.698
2.148,3.815,0.321
3.017,3.017,0.611
3.085,4.77,0.531
2.068,2.192,0.643
2.906,3.074,0.708
2.766,2.871,0.806
1.273,8.082,0.262
2.65,2.982,0.582
0.444,9.324,0.069
0.236,11.698,0.02
2.907,2.907,0.639
3.929,3.94,0.729
3.049,3.049,0.741
0.94,5.629,0.114
4.95,4.95,0.698
3.638,3.681,0.813
1.774,4.573,0.355
2.416,6.012,0.31
4.055,4.055,0.464
3.712,4.14,0.718
1.707,4.79,0.264
2.656,2.656,0.609
0.704,8.473,0.054
2.047,2.047,0.952
1.775,6.266,0.397
4.606,4.606,0.762
3.448,3.645,0.529
3.374,3.382,0.688
3.451,3.495,0.75
0.571,10.756,0.047
0.801,8.335,0.186
0.5,10.655,0.085
3.392,3.392,0.681
0.746,7.27,0.061
1.082,8.157,0.246
0.419,10.162,0.06
2.783,2.783,0.842
2.825,2.825,0.876
3.393,3.636,0.707
3.046,3.046,0.725
2.336,2.424,0.528
2.671,4.67,0.381
3.054,3.054,0.322
1.905,6.137,0.365
1.022,3.569,0.087
3.137,3.137,0.702
2.89,2.89,0.706
2.537,2.869,0.394
2.388,2.581,0.55
3.288,3.309,0.721
3.99,3.99,0.557
1.301,8.643,0.183
4.469,5.019,0.54
0.982,9.22,0.164
3.353,3.353,0.729
2.841,2.841,0.758
2.807,2.807,0.706
2.291,2.291,0.915
0.502,10.554,0.051
1.043,7.848,0.207
2.974,2.974,0.745
2.988,2.988,0.715
4.891,4.891,0.635
2.906,3.847,0.53
3.612,5.69,0.545
2.45,2.45,0.681
4.04,4.129,0.613
1.712,6.217,0.191
3.149,3.149,0.849
4.49,4.507,0.728
3.108,4.444,0.65
3.394,4.176,0.518
2.89,2.89,0.83
3.768,4.398,0.67
2.865,4.369,0.374
2.564,2.643,0.714
1.617,7.647,0.416
2.89,2.89,0.675
3.834,3.834,0.627
2.796,2.878,0.625
2.769,2.769,0.754
1.599,6.672,0.204
2.287,2.381,0.743
1.463,3.921,0.233
2.717,2.717,0.941
1.965,2.548,0.505
4.186,4.576,0.577
3.205,4.564,0.439
3.685,3.685,0.542
1.605,7.471,0.276
4.777,4.902,0.666
3.372,3.372,0.67
3.989,4.167,0.671
3.94,3.94,0.735
2.265,2.265,0.829
3.019,3.019,0.706
4.584,4.584,0.635
3.323,3.323,0.714
2.998,4.253,0.474
2.654,2.654,0.553
2.699,2.699,0.939
3.412,3.412,0.861
2.217,5.801,0.321
3.575,3.599,0.735
0.95,7.448,0.165
3.202,3.553,0.56
3.625,3.905,0.72
2.276,5.325,0.342
2.531,2.531,0.608
3.483,3.507,0.663
3.192,3.192,0.648
2.036,2.549,0.416
1.897,1.897,0.855
2.109,2.109,0.89
1.696,1.796,0.674
2.448,2.448,0.687
2.847,2.86,0.5
2.594,2.594,0.724
3.63,3.63,0.552
3.289,3.289,0.643
3.058,3.058,0.744
