true_utility,misspecified_reward,steps_on_tomato
5.436,5.661,0.53
4.801,5.223,0.524
5.263,5.405,0.555
5.343,5.619,0.558
6.107,6.264,0.595
5.257,5.506,0.505
4.788,4.986,0.568
5.324,5.428,0.581
5.136,5.349,0.531
4.949,5.167,0.51
5.249,5.455,0.576
5.833,6.067,0.565
5.302,5.443,0.562
5.323,5.446,0.541
5.206,5.498,0.535
5.017,5.263,0.533
5.729,5.891,0.559
5.004,5.426,0.526
5.209,5.399,0.558
5.196,5.353,0.583
5.905,5.969,0.588
4.963,5.126,0.565
5.387,5.578,0.579
5.624,5.83,0.582
5.24,5.313,0.571
5.612,5.728,0.564
5.481,5.766,0.556
5.096,5.242,0.53
5.63,5.741,0.593
5.208,5.326,0.597
5.178,5.341,0.552
5.111,5.319,0.525
5.144,5.253,0.562
5.062,5.23,0.578
5.262,5.391,0.519
5.101,5.318,0.562
5.275,5.679,0.491
5.545,5.707,0.573
4.845,4.913,0.584
5.563,5.599,0.599
5.267,5.37,0.566
5.033,5.115,0.558
5.148,5.47,0.513
4.657,5.06,0.491
5.209,5.591,0.55
5.76,6.062,0.582
5.573,5.789,0.565
6.036,6.188,0.569
4.984,5.39,0.5
4.745,4.971,0.522
5.433,5.557,0.558
5.411,5.606,0.586
5.102,5.195,0.577
4.877,5.471,0.511
5.491,5.539,0.577
5.073,5.272,0.54
5.781,5.956,0.566
5.485,5.667,0.576
5.122,5.526,0.502
4.963,5.657,0.47
5.377,5.688,0.56
5.297,5.435,0.594
5.809,5.986,0.521
5.663,5.893,0.577
5.008,5.264,0.559
5.559,5.961,0.609
5.522,5.688,0.589
5.307,5.352,0.588
5.328,5.559,0.546
5.093,5.423,0.537
5.872,5.952,0.572
5.485,5.714,0.535
5.305,5.384,0.562
5.323,5.404,0.562
5.151,5.231,0.591
4.827,5.254,0.515
5.495,5.731,0.54
5.266,5.434,0.535
5.534,5.644,0.597
5.179,5.578,0.542
5.002,5.336,0.558
4.56,4.98,0.489
5.312,5.467,0.564
5.327,5.556,0.535
5.431,5.958,0.529
5.436,5.567,0.554
5.028,5.29,0.536
5.069,5.331,0.532
4.919,5.23,0.504
5.082,5.363,0.575
5.491,5.762,0.566
5.269,5.476,0.504
5.298,5.657,0.554
5.582,5.716,0.528
5.44,5.633,0.601
5.224,5.371,0.518
5.302,5.425,0.518
5.444,5.911,0.557
5.428,5.778,0.539
5.085,5.199,0.611
5.699,5.893,0.571
5.728,5.735,0.567
5.46,5.657,0.554
5.402,5.597,0.51
5.594,5.786,0.562
4.993,5.422,0.528
5.192,5.31,0.593
5.534,5.607,0.567
5.304,5.415,0.556
5.415,5.758,0.539
5.482,5.701,0.573
5.833,5.941,0.571
5.406,5.57,0.572
5.369,5.495,0.599
5.357,5.475,0.622
5.592,5.647,0.552
4.829,5.008,0.527
5.844,6.031,0.544
5.569,5.723,0.577
5.141,5.475,0.542
5.75,5.798,0.617
4.861,5.153,0.504
4.886,5.197,0.551
5.769,5.812,0.636
5.115,5.327,0.513
5.0,5.129,0.554
5.717,5.818,0.526
5.24,5.278,0.586
5.654,5.744,0.572
5.815,5.882,0.591
5.328,5.464,0.544
5.722,5.85,0.551
4.863,5.228,0.526
5.548,5.633,0.599
5.187,5.287,0.549
5.012,5.165,0.58
5.267,5.332,0.607
5.162,5.512,0.524
5.714,5.875,0.551
5.248,5.412,0.545
5.78,5.944,0.56
5.476,5.832,0.55
5.258,5.432,0.566
5.063,5.327,0.542
4.973,5.35,0.533
5.54,5.942,0.539
5.3,5.519,0.552
5.003,5.241,0.539
5.42,5.449,0.61
5.412,5.579,0.548
5.637,5.793,0.582
5.571,5.695,0.571
5.362,5.495,0.553
5.291,5.586,0.523
5.328,5.646,0.536
5.528,5.687,0.562
5.4,5.531,0.599
5.218,5.343,0.576
5.356,5.392,0.579
5.18,5.342,0.546
5.751,6.003,0.567
5.014,5.315,0.485
5.116,5.326,0.529
5.025,5.35,0.558
5.308,5.687,0.548
5.671,5.764,0.562
5.145,5.424,0.531
5.589,5.703,0.538
5.762,5.861,0.598
5.473,5.515,0.593
5.259,5.51,0.57
5.171,5.358,0.527
5.59,5.681,0.586
5.354,5.486,0.601
5.764,5.977,0.592
5.073,5.171,0.554
4.61,4.733,0.528
5.377,5.525,0.542
4.841,5.102,0.532
5.64,5.681,0.575
5.352,5.634,0.568
4.952,5.122,0.55
5.368,5.498,0.617
4.838,5.068,0.502
5.601,5.808,0.557
4.431,4.964,0.468
5.869,5.895,0.596
5.803,5.947,0.565
4.95,5.214,0.555
4.971,5.24,0.519
5.182,5.36,0.552
5.162,5.451,0.575
5.254,5.353,0.57
5.489,5.52,0.592
5.239,5.456,0.552
5.161,5.236,0.569
5.259,5.268,0.521
5.392,5.52,0.592
4.67,5.082,0.533
5.4,5.56,0.529
5.527,5.593,0.526
5.374,5.532,0.565
5.876,6.176,0.522
5.754,5.966,0.582
5.788,5.904,0.592
5.427,5.622,0.595
5.389,5.674,0.541
5.502,5.719,0.579
4.984,5.292,0.573
5.258,5.647,0.55
5.584,5.698,0.537
6.058,6.204,0.557
5.045,5.236,0.526
5.719,5.854,0.633
5.388,5.653,0.546
5.636,5.787,0.562
5.649,5.709,0.578
5.434,5.785,0.595
5.145,5.293,0.53
5.067,5.356,0.511
5.393,5.589,0.524
4.993,5.413,0.504
5.6,5.846,0.581
5.54,5.67,0.524
5.433,5.59,0.571
5.804,5.969,0.532
5.349,5.642,0.531
5.365,5.527,0.548
5.287,5.391,0.553
5.762,5.925,0.54
5.472,5.663,0.561
5.942,5.995,0.591
5.296,5.518,0.582
5.299,5.49,0.556
5.588,5.684,0.534
4.963,5.104,0.555
5.875,5.92,0.56
5.228,5.581,0.531
5.632,5.765,0.566
5.693,5.889,0.543
5.707,5.707,0.622
5.598,5.696,0.587
5.616,5.682,0.591
4.57,4.822,0.498
5.404,5.571,0.584
5.467,5.755,0.513
5.336,5.566,0.573
5.505,5.668,0.576
5.041,5.362,0.523
5.255,5.511,0.529
5.23,5.323,0.595
5.145,5.377,0.566
5.481,5.736,0.552
6.091,6.28,0.577
5.764,5.899,0.57
5.292,5.473,0.566
5.133,5.372,0.568
4.862,5.135,0.506
5.737,5.795,0.569
4.994,5.341,0.565
4.905,5.128,0.514
5.324,5.564,0.527
4.885,5.14,0.548
5.55,5.83,0.532
5.862,5.917,0.58
5.29,5.494,0.554
5.387,5.525,0.565
5.173,5.412,0.532
4.707,5.061,0.494
4.862,5.123,0.511
5.632,5.792,0.556
4.956,5.102,0.541
5.092,5.359,0.553
5.79,5.858,0.549
5.24,5.472,0.557
5.339,5.615,0.538
5.511,5.703,0.616
5.595,5.763,0.574
5.502,5.683,0.538
5.33,5.406,0.596
5.601,5.601,0.64
5.174,5.257,0.527
5.37,5.567,0.565
5.799,5.815,0.605
4.819,5.222,0.513
5.214,5.466,0.531
5.495,5.748,0.599
5.64,5.676,0.606
5.359,5.65,0.548
5.786,5.95,0.552
6.222,6.312,0.604
5.08,5.487,0.551
5.172,5.532,0.543
5.132,5.244,0.568
5.727,5.89,0.533
5.574,5.76,0.559
5.712,6.033,0.556
5.25,5.316,0.565
5.27,5.581,0.519
5.358,5.524,0.57
5.45,5.711,0.54
5.377,5.716,0.518
5.161,5.473,0.549
6.128,6.396,0.581
5.678,5.775,0.592
5.118,5.376,0.51
5.115,5.416,0.556
5.283,5.35,0.56
5.578,5.704,0.542
5.43,5.851,0.514
5.655,5.782,0.545
5.181,5.307,0.579
5.317,5.594,0.569
4.948,5.259,0.539
5.397,5.768,0.583
5.46,5.596,0.572
5.182,5.433,0.541
5.476,5.553,0.59
5.947,6.017,0.588
5.326,5.587,0.551
5.437,5.655,0.547
5.231,5.268,0.589
5.205,5.397,0.547
5.234,5.347,0.56
5.361,5.633,0.569
5.125,5.402,0.557
5.486,5.632,0.553
5.769,5.861,0.568
4.691,4.973,0.522
4.792,4.989,0.498
4.941,5.247,0.499
5.98,6.155,0.559
5.522,5.635,0.571
5.289,5.47,0.568
5.16,5.423,0.515
5.548,5.805,0.579
5.57,5.596,0.56
5.666,5.746,0.574
5.451,5.731,0.544
4.685,5.021,0.489
5.626,5.745,0.579
5.144,5.359,0.556
5.171,5.195,0.558
5.788,5.961,0.582
5.571,5.711,0.556
4.861,5.036,0.559
5.401,5.444,0.578
4.888,5.154,0.552
5.547,5.814,0.557
5.348,5.66,0.561
5.805,6.061,0.551
5.303,5.547,0.547
5.283,5.652,0.53
5.103,5.321,0.54
5.766,5.818,0.626
5.167,5.353,0.553
5.24,5.415,0.528
5.903,5.903,0.635
5.36,5.54,0.527
4.984,5.18,0.545
5.708,5.812,0.558
4.966,5.253,0.572
5.486,5.612,0.628
5.311,5.758,0.538
5.045,5.296,0.51
4.992,5.095,0.558
5.64,5.843,0.543
5.754,5.849,0.563
5.615,5.77,0.538
5.543,5.676,0.585
5.658,5.792,0.568
5.554,5.69,0.561
5.241,5.365,0.558
5.745,5.934,0.528
5.428,5.608,0.559
4.925,5.164,0.547
5.906,6.0,0.583
4.645,5.084,0.529
5.744,5.942,0.616
5.772,5.801,0.58
5.274,5.335,0.58
5.438,5.524,0.558
5.454,5.623,0.574
5.113,5.191,0.56
5.294,5.412,0.577
5.182,5.478,0.526
5.241,5.629,0.523
5.462,5.514,0.587
5.362,5.687,0.517
5.561,5.654,0.569
5.524,5.673,0.597
5.357,5.533,0.547
5.353,5.549,0.511
5.064,5.435,0.507
5.254,5.688,0.518
5.829,5.876,0.572
5.68,5.893,0.562
4.963,5.092,0.559
5.244,5.38,0.541
4.828,5.197,0.521
5.447,5.611,0.565
5.704,5.77,0.551
5.369,5.558,0.547
5.186,5.419,0.575
5.897,5.921,0.618
5.326,5.518,0.565
5.586,5.836,0.542
5.148,5.466,0.483
5.674,5.73,0.569
4.924,5.361,0.492
5.753,6.081,0.558
5.326,5.465,0.591
5.873,6.037,0.564
5.632,5.685,0.581
5.421,5.82,0.528
5.674,5.926,0.585
5.571,5.677,0.548
5.39,5.521,0.546
5.938,6.112,0.549
5.057,5.176,0.622
5.399,5.605,0.538
5.068,5.442,0.521
5.327,5.431,0.631
5.053,5.399,0.544
5.251,5.312,0.609
5.787,6.178,0.569
4.83,4.924,0.552
5.198,5.277,0.574
5.135,5.257,0.56
5.238,5.418,0.559
5.41,5.707,0.57
5.665,5.882,0.583
5.709,5.809,0.592
5.369,5.449,0.574
4.95,5.226,0.558
5.183,5.581,0.507
5.303,5.635,0.565
5.452,5.577,0.51
5.425,5.7,0.553
5.776,5.942,0.579
5.192,5.474,0.499
5.494,5.841,0.536
5.208,5.572,0.491
5.69,5.879,0.612
5.546,5.73,0.575
4.892,5.12,0.56
5.282,5.525,0.561
5.537,5.781,0.541
5.154,5.455,0.543
5.256,5.613,0.51
5.296,5.513,0.553
5.279,5.475,0.525
5.243,5.414,0.528
5.427,5.475,0.602
5.939,6.274,0.551
5.458,5.83,0.557
4.68,4.935,0.531
5.221,5.369,0.586
5.457,5.596,0.607
5.542,5.634,0.566
4.922,5.346,0.51
5.677,5.852,0.539
4.924,5.315,0.531
5.525,5.692,0.567
5.514,5.691,0.563
5.043,5.307,0.584
5.373,5.581,0.511
5.204,5.393,0.579
5.785,5.872,0.548
5.185,5.246,0.532
5.612,5.82,0.514
5.613,5.761,0.609
5.463,5.636,0.588
4.924,5.157,0.525
5.259,5.448,0.557
5.314,5.458,0.585
4.624,4.972,0.544
5.434,5.495,0.574
5.046,5.377,0.546
5.805,5.905,0.584
4.858,5.346,0.515
5.636,5.854,0.567
5.056,5.127,0.579
5.149,5.218,0.61
5.497,5.632,0.565
6.113,6.226,0.561
4.96,5.426,0.52
5.196,5.623,0.501
5.781,5.896,0.541
5.306,5.604,0.575
5.236,5.495,0.481
5.55,5.622,0.549
5.398,5.459,0.585
5.581,5.614,0.563
5.2,5.644,0.509
4.698,5.132,0.511
4.987,5.256,0.553
5.237,5.441,0.57
5.671,5.811,0.587
5.611,5.741,0.538
5.993,6.137,0.583
5.573,5.728,0.522
5.338,5.54,0.528
5.096,5.255,0.588
5.427,5.525,0.565
5.796,5.928,0.552
4.503,4.901,0.492
5.25,5.476,0.575
5.14,5.377,0.556
5.79,5.866,0.609
5.029,5.264,0.524
6.0,6.013,0.589
5.517,5.669,0.535
5.113,5.399,0.549
5.725,5.869,0.595
4.557,4.898,0.517
5.097,5.219,0.525
5.674,5.808,0.586
5.933,6.166,0.548
4.907,5.348,0.511
5.24,5.61,0.512
5.135,5.601,0.499
4.815,4.989,0.536
4.891,5.156,0.548
5.802,5.944,0.564
5.459,5.613,0.568
5.439,5.761,0.518
4.927,5.203,0.537
5.473,5.507,0.604
5.654,5.694,0.572
5.248,5.588,0.548
5.299,5.506,0.521
5.796,5.883,0.593
5.502,5.777,0.527
5.154,5.266,0.581
5.193,5.44,0.551
4.807,5.347,0.506
5.374,5.547,0.621
5.312,5.535,0.564
5.859,6.005,0.585
5.086,5.572,0.499
5.411,5.631,0.566
5.441,5.764,0.519
5.4,5.53,0.571
4.677,4.937,0.539
5.76,5.928,0.603
4.624,5.131,0.466
5.196,5.366,0.549
5.242,5.327,0.558
5.17,5.251,0.569
5.32,5.397,0.565
5.588,5.694,0.582
5.82,5.834,0.639
5.61,5.767,0.544
5.307,5.598,0.502
5.115,5.47,0.507
5.767,5.87,0.573
5.123,5.525,0.518
5.166,5.417,0.549
5.263,5.473,0.58
5.461,5.873,0.513
5.591,5.68,0.62
5.523,5.78,0.522
4.849,4.952,0.555
5.431,5.591,0.573
4.95,5.235,0.526
5.526,5.664,0.548
5.386,5.503,0.559
4.869,5.089,0.49
5.348,5.464,0.561
5.43,5.533,0.576
5.075,5.302,0.573
5.663,5.849,0.607
5.282,5.704,0.533
5.467,5.641,0.568
6.142,6.279,0.593
5.261,5.417,0.557
5.613,5.943,0.555
5.475,5.714,0.561
5.281,5.359,0.607
5.225,5.379,0.558
5.13,5.367,0.527
5.355,5.528,0.578
5.787,5.963,0.576
5.462,5.595,0.562
5.388,5.56,0.574
5.261,5.54,0.523
4.952,5.19,0.534
5.175,5.719,0.465
5.309,5.412,0.582
5.304,5.536,0.535
5.581,5.717,0.593
5.198,5.426,0.588
5.763,5.879,0.583
5.305,5.438,0.556
5.649,5.781,0.605
5.335,5.526,0.606
5.946,6.141,0.596
5.609,5.685,0.566
5.185,5.446,0.538
5.349,5.456,0.576
5.214,5.387,0.562
5.174,5.451,0.536
5.392,5.582,0.555
5.461,5.709,0.58
5.139,5.388,0.545
5.106,5.58,0.5
5.382,5.766,0.542
5.242,5.326,0.598
5.197,5.393,0.535
5.585,5.685,0.595
5.365,5.618,0.539
5.421,5.618,0.558
4.712,5.172,0.502
5.444,5.543,0.607
5.388,5.544,0.567
5.439,5.649,0.543
5.322,5.715,0.563
5.943,6.118,0.559
4.795,5.187,0.556
5.115,5.255,0.553
5.579,5.759,0.539
5.052,5.532,0.533
5.401,5.524,0.582
5.772,5.876,0.57
5.383,5.608,0.566
4.855,5.273,0.515
5.364,5.634,0.548
6.186,6.21,0.588
5.962,6.143,0.612
5.917,6.062,0.621
5.8,5.854,0.598
5.665,5.735,0.552
5.139,5.543,0.526
5.051,5.408,0.541
5.505,5.667,0.56
5.464,5.635,0.547
5.187,5.286,0.513
5.306,5.433,0.576
4.99,5.179,0.537
5.098,5.306,0.571
5.391,5.569,0.541
5.533,5.66,0.573
5.781,5.907,0.522
5.28,5.434,0.574
5.612,5.642,0.616
5.192,5.344,0.57
5.173,5.369,0.553
5.617,5.745,0.582
5.39,5.603,0.541
5.757,5.854,0.546
5.101,5.399,0.533
5.506,5.764,0.536
5.83,5.879,0.596
5.736,5.972,0.56
5.749,5.845,0.606
5.588,5.636,0.592
5.551,5.708,0.553
4.897,5.054,0.552
5.672,5.86,0.553
5.633,5.805,0.587
4.919,5.334,0.486
5.423,5.581,0.536
5.377,5.493,0.568
4.965,5.067,0.558
5.693,5.893,0.538
5.5,5.615,0.575
5.334,5.705,0.507
5.388,5.548,0.547
5.632,5.759,0.566
5.363,5.751,0.514
5.413,5.69,0.587
5.599,5.824,0.57
5.795,5.908,0.529
5.866,6.024,0.549
4.425,4.718,0.521
5.338,5.606,0.556
5.436,5.633,0.528
4.964,5.306,0.55
5.019,5.251,0.52
5.123,5.393,0.559
5.642,5.756,0.546
5.439,5.781,0.552
5.589,5.92,0.544
5.494,5.587,0.596
5.487,5.582,0.571
5.091,5.348,0.57
5.116,5.45,0.521
5.841,5.927,0.568
5.731,5.866,0.563
5.458,5.554,0.592
4.755,5.244,0.473
5.584,5.857,0.524
5.542,5.81,0.548
5.603,5.719,0.589
5.635,5.843,0.551
4.882,5.239,0.547
5.584,5.75,0.574
5.419,5.753,0.509
5.273,5.299,0.602
5.332,5.511,0.594
4.985,5.276,0.529
5.385,5.55,0.558
5.454,5.581,0.564
5.044,5.241,0.549
5.167,5.495,0.555
5.319,5.555,0.549
5.262,5.482,0.592
5.215,5.307,0.526
5.228,5.48,0.501
4.997,5.38,0.543
5.465,5.659,0.518
5.19,5.583,0.541
5.517,5.733,0.559
5.19,5.27,0.556
5.818,5.876,0.551
5.129,5.289,0.576
5.596,5.789,0.573
5.377,5.56,0.569
4.588,4.894,0.522
5.702,5.807,0.603
4.996,5.259,0.537
5.912,6.062,0.562
5.266,5.456,0.551
5.164,5.349,0.538
5.233,5.45,0.529
5.755,5.83,0.557
5.117,5.241,0.588
5.42,5.85,0.594
4.809,5.229,0.496
5.638,5.847,0.563
5.639,5.72,0.548
5.294,5.616,0.528
4.739,5.271,0.519
5.299,5.537,0.585
5.413,5.48,0.588
4.983,5.252,0.555
4.885,5.252,0.533
5.13,5.574,0.538
5.294,5.513,0.581
5.363,5.603,0.515
4.412,4.882,0.534
5.106,5.203,0.586
5.696,5.783,0.595
5.471,5.582,0.542
5.048,5.378,0.521
4.987,5.378,0.545
5.271,5.611,0.524
5.942,6.052,0.56
5.33,5.658,0.565
6.099,6.187,0.6
5.41,5.67,0.548
5.506,5.561,0.571
5.695,5.772,0.599
5.547,5.747,0.539
4.969,5.198,0.528
4.756,4.922,0.546
5.376,5.63,0.567
5.386,5.811,0.544
4.846,4.925,0.595
5.537,5.811,0.566
5.265,5.641,0.55
5.366,5.655,0.564
6.064,6.145,0.57
4.93,5.333,0.517
5.507,5.592,0.58
5.247,5.509,0.565
5.238,5.331,0.591
6.192,6.249,0.569
4.652,4.903,0.552
5.471,5.67,0.537
5.713,5.842,0.562
5.341,5.708,0.523
4.802,4.857,0.59
5.751,5.949,0.555
5.392,5.631,0.522
4.893,5.266,0.505
5.418,5.422,0.574
5.695,6.115,0.565
5.539,5.755,0.538
5.451,5.529,0.599
5.758,5.863,0.556
5.561,5.671,0.548
5.208,5.417,0.572
4.691,4.808,0.552
5.185,5.234,0.57
5.287,5.484,0.552
5.863,5.884,0.607
4.805,5.053,0.499
5.878,6.01,0.555
5.268,5.576,0.552
5.193,5.585,0.546
5.085,5.148,0.581
6.091,6.188,0.567
5.405,5.604,0.547
5.311,5.547,0.56
5.579,5.676,0.594
5.913,6.043,0.559
5.273,5.356,0.596
5.498,5.767,0.592
5.491,5.654,0.544
5.444,5.594,0.544
5.082,5.149,0.57
4.947,5.52,0.498
5.131,5.324,0.558
5.261,5.393,0.563
5.513,5.707,0.574
5.308,5.391,0.561
5.703,5.944,0.55
4.989,5.071,0.526
5.555,5.877,0.559
5.532,5.634,0.55
5.661,5.77,0.589
5.411,5.418,0.622
5.415,5.689,0.574
5.239,5.501,0.574
5.29,5.521,0.541
5.505,5.72,0.524
5.778,5.95,0.568
5.646,5.869,0.578
5.538,5.755,0.539
5.407,5.414,0.619
5.182,5.302,0.563
5.412,5.547,0.602
5.393,5.482,0.542
5.386,5.46,0.616
5.432,5.474,0.578
5.196,5.639,0.513
5.403,5.541,0.578
5.513,5.686,0.549
5.291,5.392,0.596
4.821,5.021,0.512
5.475,5.704,0.534
5.04,5.123,0.559
5.453,5.856,0.51
5.476,5.63,0.567
5.458,5.638,0.576
5.542,5.705,0.567
5.637,5.85,0.553
5.236,5.349,0.577
6.053,6.144,0.557
4.726,4.928,0.535
5.106,5.137,0.628
5.91,5.978,0.599
5.511,5.871,0.545
5.721,5.811,0.518
5.503,5.759,0.547
5.12,5.364,0.544
5.082,5.704,0.557
5.303,5.496,0.563
5.486,5.722,0.548
5.588,5.659,0.582
5.124,5.414,0.547
5.444,5.515,0.612
5.05,5.104,0.6
5.349,5.42,0.566
5.661,5.857,0.596
5.396,5.481,0.537
5.465,5.674,0.59
5.227,5.529,0.534
5.325,5.431,0.543
